frequency_rank,headword,definition,part_of_speech,semantic_group
721,fingō fingere fīnxī fīctum,shape; invent,Verb: 3rd Conjugation -ō,Making/Doing
722,respicio -ere -spēxī -spectum,"look back, regard, consider",Verb: 3rd Conjugation -iō,Vision
723,imperātor -ōris m.,commander,Noun: 3rd Declension,War and Peace
724,vacō vacāre,"be empty, open, unoccupied",Verb: 1st Conjugation,Measurement
725,color -ōris m.,color,Noun: 3rd Declension,Vision
726,discēdō -ere -cessī -cessum,"go away, depart",Verb: 3rd Conjugation -ō,Travel
727,gaudium -ī n.,"delight, joy, pleasure",Noun: 2nd Declension,Emotions
728,caecus -a -um,"blind, unseeing; dark, obscure",Adjective: 1st and 2nd Declension,Vision
729,libet libēre libuit or libitum est,it is pleasing (+ dat. + infin.),Verb: Impersonal,Social Life
730,centum,one hundred,Adjective: Numeral,Measurement
731,cōnstō -stāre -stitī,"agree; constat, it is established that (+ acc. and infin.)",Verb: 1st Conjugation,Speech/Oratory
732,lingua -ae f.,tongue; language,Noun: 1st Declension,The Body
733,multitūdō -inis f.,"multitude, number",Noun: 3rd Declension,Measurement
734,aeternus -a -um,"everlasting, eternal",Adjective: 1st and 2nd Declension,Lengths of Time
735,circā,around (adv. and prep. +acc.),Preposition,Place
736,ōrātiō -ōnis f.,"speech, address",Noun: 3rd Declension,Speech/Oratory
737,potestās -ātis f.,power,Noun: 3rd Declension,The City
738,tardus -a -um,"slow, sluggish, lingering",Adjective: 1st and 2nd Declension,Time
739,for fārī fātus sum,"report, say",Verb: Deponent,Speech/Oratory
740,humus -ī f.,ground; humī: on the ground,Noun: 2nd Declension,Earth and Water
741,testis -is m.,witness,Noun: 3rd Declension,Justice
742,īnferō īnferre intulī illātum,"bring upon, against; bellum īnferre: make war on",Verb: Irregular,War and Peace
743,cūrō -āre,"watch over, look after, care for (+ acc.)",Verb: 1st Conjugation,Love
744,aes aeris n.,"copper, bronze",Noun: 3rd Declension,Business/Money
745,celer -is -e,swift,Adjective: 3rd Declension,Time
746,prōcēdō -cēdere -cessī -cessum,"go forth, advance",Verb: 3rd Conjugation -ō,Motion
747,mēnsa -ae f.,table,Noun: 1st Declension,The House
748,pius -a -um,"dutiful, devoted, just, pious",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
749,iūdicium -ī n.,"judgment, decision, trial",Noun: 2nd Declension,Justice
750,victōria -ae f.,victory,Noun: 1st Declension,War and Peace
751,damnō -āre,condemn,Verb: 1st Conjugation,Justice
752,rārus -a -um,"wide apart, loose, thin; rare, seldom",Adjective: 1st and 2nd Declension,Measurement
753,tempestas -tātis f.,"period of time, season; bad weather, storm",Noun: 3rd Declension,Lengths of Time
754,imāgō -inis f.,"image, form, figure",Noun: 3rd Declension,Vision
755,ōrō -āre,pray,Verb: 1st Conjugation,Religion
756,praeter,"by, along, past; besides, except (+ acc.)",Preposition,Place
757,cōnsulō -sulere -suluī -sultum,"consult, plan (+ acc.); consider the interests of (+dat)",Verb: 3rd Conjugation -ō,The City
758,iterum,again,Adverb,Time
759,porta -ae f.,gate,Noun: 1st Declension,The City
760,intersum -esse -fuī,"to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)",Verb: Irregular,Place
761,libīdō -inis f.,"passion, lust",Noun: 3rd Declension,Love
762,sustineō sustinēre sustinuī sustentum,"hold up, sustain",Verb: 2nd Conjugation,Social Life
763,aliquandō,"at some time, at length",Adverb,Time
764,māiōrēs māiōrum m.,ancestors,Noun: 3rd Declension,The Household
765,reperiō -perīre -pperī -pertum,"find, find out",Verb: 4th Conjugation,Education/Knowledge
766,intrō -āre,enter,Verb: 1st Conjugation,Motion
767,pietās -tātis f.,"sense of duty, devotion, esp. between parents and children",Noun: 3rd Declension,The Household
768,barbarus -ī m.,"foreigner, barbarian",Noun: 2nd Declension,War and Peace
769,culpa -ae f.,"guilt, fault, blame",Noun: 1st Declension,Justice
770,iūstus -a -um,"right, just, fair",Adjective: 1st and 2nd Declension,Justice
771,dōnec,until,Conjunction,Time
772,fluō fluere fluxī fluxum,flow,Verb: 3rd Conjugation -ō,Earth and Water
773,necesse (indecl. adj.),necessary,Adjective: Indeclinable,Business/Money
774,reor rērī rātus sum,"think, imagine, suppose, deem",Verb: Deponent,Education/Knowledge
775,tenebrae -brārum f. pl.,"darkness, the shadows",Noun: 1st Declension,Vision
776,saeculum -ī n.,"generation, age, century",Noun: 2nd Declension,Lengths of Time
777,dīmittō -mittere -mīsī -missum,send away,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
778,licet,even though,Conjunction,Justice
779,cinis cineris m./f.,"ashes, embers",Noun: 3rd Declension,Air and Fire
780,cōnsistō -sistere -stitī,"take position; consist in, be composed of",Verb: 3rd Conjugation -ō,Speech/Oratory
781,recēns -ntis,"fresh, new",Adjective: 3rd Declension,Time
782,aliter,"otherwise, differently",Adverb,Conjunctions/Adverbs
783,laedō laedere laesī laesum,"injure by striking, hurt",Verb: 3rd Conjugation -ō,Violence
784,probō -āre,"approve, prove; convince one (dat.) of a thing (acc.)",Verb: 1st Conjugation,Verbs of Compelling/Directing
785,doleō -ēre doluī,"feel pain or grief, grieve",Verb: 2nd Conjugation,Emotions
786,quārē,how? why?,Adverb,Pronouns/Interrogatives
787,antequam,before,Conjunction,Time
788,reliquus -a -um,"remaining, rest",Adjective: 1st and 2nd Declension,Measurement
789,semel,once,Adverb,Time
790,ōdī ōdisse,hate,Verb: Irregular,Emotions
791,sīcut,just as,Adverb,Conjunctions/Adverbs
792,peccō -āre,"commit a wrong, injure",Verb: 1st Conjugation,Justice
793,sēnsus -ūs m.,"feeling, emotion, sense",Noun: 4th Declension,Emotions
794,exsilium -ī n.,"exile, banishment",Noun: 2nd Declension,Travel
795,cor cordis n.,"heart; cordī est, it is pleasing to (+ dat.)",Noun: 3rd Declension,The Body
796,dēnique,finally,Adverb,Time
797,sapientia -ae f.,wisdom,Noun: 1st Declension,Education/Knowledge
798,statim,immediately,Adverb,Time
799,accidō -cidere -cidī,fall; happen,Verb: 3rd Conjugation -ō,Motion
800,dēcernō -cernere -crēvī -crētum,"determine, decide",Verb: 3rd Conjugation -ō,Education/Knowledge
801,occīdō -cīdere -cīdī -cīsum,"kill, cut down",Verb: 3rd Conjugation -ō,Violence
802,dēscendō -scendere -scendī -scēnsum,"climb down, descend",Verb: 3rd Conjugation -ō,Travel
803,hiems hiemis f.,winter,Noun: 3rd Declension,Lengths of Time
804,contineō -tinēre -tinuī -tentum,"contain, restrain",Verb: 2nd Conjugation,Verbs of Compelling/Directing
805,dēferō -ferre -tulī -lātum,"carry away, report",Verb: Irregular,Verbs of Transport
806,oportet -ēre -uit,"it is proper, right (+ acc. + infin.)",Verb: Impersonal,Social Life
807,tribūnus -ī m.,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī",Noun: 2nd Declension,The City
808,bōs bovis m.,ox; gen. pl. boum,Noun: 3rd Declension,Animals/Plants
809,īrāscor īrāscī īrātus sum,grow angry; īrātus -a -um: angry,Verb: Deponent,Emotions
810,aeger aegra aegrum,sick,Adjective: 1st and 2nd Declension,Life and Being
811,forum -ī n.,"market-place, forum",Noun: 2nd Declension,The City
812,offerō offerre obtulī oblātum,"present, offer, expose",Verb: Irregular,Verbs of Transport
813,revocō -āre,"call back, recall",Verb: 1st Conjugation,Social Life
814,cingō cingere cīnxī cīnctum,"encircle, surround, gird",Verb: 3rd Conjugation -ō,War and Peace
815,integer -gra -grum:,"untouched, fresh, complete, whole",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
816,validus -a -um,strong,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
817,alō alere aluī alitum,nourish,Verb: 3rd Conjugation -ō,Life and Being
818,flōs flōris m.,"flower, bloom",Noun: 3rd Declension,Animals/Plants
819,īctus -ūs m.,"blow, stroke",Noun: 4th Declension,Violence
820,colligō -ere -lēgī -lēctum,"gather together, collect",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
821,pergō pergere perrēxī perrēctum,"continue, proceed; awaken",Verb: 3rd Conjugation -ō,Motion
822,praesēns -ntis,"present, in person, ready",Adjective: 3rd Declension,Place
823,rēctus -a -um,"straight, direct",Adjective: 1st and 2nd Declension,Measurement
824,lātus -a -um,"broad, wide",Adjective: 1st and 2nd Declension,Measurement
825,praeceptum -ī n.,"rule, precept; command",Noun: 2nd Declension,Justice
826,recēdō -cēdere -cessī -cessum,"step back, recoil, recede, withdraw",Verb: 3rd Conjugation -ō,Motion
827,utrum,whether; utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs
828,famēs -is f.,"hunger, famine",Noun: 3rd Declension,Life and Being
829,pariō parere peperī partum,"bring forth, give birth to; accomplish",Verb: 3rd Conjugation -iō,Life and Being
830,appāreō -ēre -uī,"appear, become visible",Verb: 2nd Conjugation,Vision
831,quōmodo,"in what way, how?",Conjunction,Pronouns/Interrogatives
832,error -ōris m.,"wandering; error, mistake",Noun: 3rd Declension,Travel
833,"forsitan, fortasse","perhaps, perchance",Adverb,Conjunctions/Adverbs
834,convertō -vertere -vertī -versum,"turn about, turn, change",Verb: 3rd Conjugation -ō,Motion
835,proficīscor -ficīscī -fectus sum,"set forth, go",Verb: Deponent,Travel
836,secundus -a -um,following; favorable; (as numeral) second,Adjective: 1st and 2nd Declension,Measurement
837,aperiō aperīre aperuī apertum,open,Verb: 4th Conjugation,The House
838,castus -a -um,"pure, spotless, chaste",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
839,iūdex iūdicis m.,"judge, juror",Noun: 3rd Declension,Justice
840,lapis lapidis m.,stone,Noun: 3rd Declension,Earth and Water
841,nimis or nimium,excessively,Adverb,Personality Traits/Characteristics
842,onus oneris n.,"load, burden",Noun: 3rd Declension,Measurement
843,opera -ae f.,"labor, activity, work",Noun: 1st Declension,Business/Money
844,pauper -eris,"poor, lowly",Adjective: 3rd Declension,Business/Money
845,āēr āeris m.,air,Noun: 3rd Declension,Air and Fire
846,negōtium -ī n.,business,Noun: 2nd Declension,Business/Money
847,pāreō pārēre pāruī,obey,Verb: 2nd Conjugation,Verbs of Compelling/Directing
848,subitō,"suddenly, unexpectedly",Adverb,Time
849,argentum -ī n.,"silver, money",Noun: 2nd Declension,Business/Money
850,ūtilis -e,useful,Adjective: 3rd Declension,Making/Doing
851,aethēr aetheris n.,"pure upper air, ether, heaven, sky",Noun: 3rd Declension,Air and Fire
852,mereō merēre meruī meritum,"deserve, merit; serve as a soldier",Verb: 2nd Conjugation,Business/Money
853,portō -āre,carry a load,Verb: 1st Conjugation,Measurement
854,proprius -a -um,"one’s own, peculiar",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
855,avis -is f.,bird,Noun: 3rd Declension,Animals/Plants
856,vanus -a -um,"empty; false, deceitful",Adjective: 1st and 2nd Declension,Deception
857,māteria -ae f.,"material, subject matter; timber, lumber",Noun: 1st Declension,Speech/Oratory
858,paucī -ae -a,"few, a few",Adjective: 1st and 2nd Declension,Measurement
859,voluntās -ātis f.,"wish, desire",Noun: 3rd Declension,Emotions
860,ēgregius -a -um,"distinguished, uncommon",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
861,difficilis -e,"not easy, hard, difficult",Adjective: 3rd Declension,Personality Traits/Characteristics
862,gladius -ī m.,sword,Noun: 2nd Declension,War and Peace
863,cibus -ī m.,food,Noun: 2nd Declension,Life and Being
864,certō -āre,"decide by contest; fight, compete, vie",Verb: 1st Conjugation,Athletics
865,initium -ī n.:,beginning,Noun: 2nd Declension,Time
866,pertineō -tinēre -tinuī,"extend over, reach; refer to, pertain to, be the business of",Verb: 2nd Conjugation,Education/Knowledge
867,quattuor,four,Adjective: Numeral,Measurement
868,turbō -āre,"disturb, confuse",Verb: 1st Conjugation,Speech/Oratory
869,cōnsūmō -sūmere -sūmpsī -sūmptum,"to use up, consume",Verb: 3rd Conjugation -ō,Life and Being
870,corrumpō -rumpere -rūpī -ruptum,"break up, destroy, ruin",Verb: 3rd Conjugation -ō,Violence
871,incidō incidere incidī,"fall upon, fall into; happen",Verb: 3rd Conjugation -ō,Motion
872,"paulō, paulum","to only a small extent, slightly, a little",Adverb,Measurement
873,hospes hospitis m.,"guest, guest-friend; stranger; host",Noun: 3rd Declension,Social Life
874,rīdeō -ēre rīsī rīsum,"laugh, laugh at",Verb: 3rd Conjugation -ō,Emotions
875,aevum -i n.,"eternity; lifetime, age",Noun: 2nd Declension,Lengths of Time
876,audāx audācis,"bold, daring; reckless",Adjective: 3rd Declension,Personality Traits/Characteristics
877,posterus -a -um,"next, later",Adjective: 1st and 2nd Declension,Time
878,praetor -ōris m.,"praetor, one of the chief Roman magistrates",Noun: 3rd Declension,The City
879,rūs rūris n.,country,Noun: 3rd Declension,Geography
880,differō differre distulī dīlātum,"scatter; publish, divulge; differ; defer, postpone",Verb: Irregular,Making/Doing
881,vītō -āre,"avoid, shun",Verb: 1st Conjugation,Social Life
882,prīvātus -a -um,"personal, private",Adjective: 1st and 2nd Declension,Social Life
883,serviō -īre,"be a slave, serve (+ dat.)",Verb: 4th Conjugation,The Household
884,vereor verērī veritus sum,"fear, stand in awe of",Verb: Deponent,Emotions
885,ingredior -gredī -gressus sum:,"step in, enter",Verb: Deponent,Motion
886,addūcō -ere -dūxī -ductum,"lead to, induce",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
887,hortor hortārī hortātus sum,"urge strongly, advise, exhort",Verb: Deponent,Speech/Oratory
888,reus -ī m.,defendant,Noun: 2nd Declension,Justice
889,scīlicet,"certainly, of course",Adverb,Conjunctions/Adverbs
890,comparō -āre,"get ready, provide; compare",Verb: 1st Conjugation,Business/Money
891,perpetuus -a -um,"unbroken, perpetual",Adjective: 1st and 2nd Declension,Lengths of Time
892,dēsīderō -āre,"long for, desire greatly",Verb: 1st Conjugation,Love
893,celebrō -āre,"frequent, throng, crowd",Verb: 1st Conjugation,The City
894,cōnficiō -ficere -fēcī -fectum,"complete, accomplish; destroy, kill, consume",Verb: 3rd Conjugation -iō,Violence
895,intendō -tendere -tendī -tentum:,"stretch out, strain",Verb: 3rd Conjugation -ō,Motion
896,iūrō -āre,"take an oath, swear; iūs iūrandum, oath",Verb: 1st Conjugation,Justice
897,sōlum,"only, merely",Adverb,Measurement
898,auctōritās -ātis f.,"influence, clout, authority",Noun: 3rd Declension,Social Life
899,iaciō iacere iēcī iactum,"throw, hurl",Verb: 3rd Conjugation -iō,Athletics
900,labōrō -āre,"toil, work; be in trouble or distress",Verb: 1st Conjugation,Business/Money
901,liber librī m.,book,Noun: 2nd Declension,Writing/Poetry
902,lūna -ae f.,moon,Noun: 1st Declension,Air and Fire
903,prōtinus,"at once, forthwith",Adverb,Time
904,aequē,equally,Adverb,Justice
905,cōnor cōnārī cōnātus sum,"try, attempt",Verb: Deponent,Making/Doing
906,cupīdō -inis f.,"desire, eagerness, craving",Noun: 3rd Declension,Love
907,ferē,almost,Adverb,Conjunctions/Adverbs
908,īnsula -ae f.:,island,Noun: 1st Declension,Geography
909,fīlia -ae f.; fīlius -ī m.,daughter; son,Noun: 1st Declension,The Household
910,narrō -āre,"relate, recount",Verb: 1st Conjugation,Speech/Oratory
911,necessitās -tātis f.,"necessity, need",Noun: 3rd Declension,Business/Money
912,ēgredior ēgredī ēgressus sum,"stride out, depart, disembark from (+ abl.)",Verb: Deponent,Travel
913,poēta -ae m.,poet,Noun: 1st Declension,Writing/Poetry
914,decem,ten,Adjective: Numeral,Measurement
915,amplus -a -um,"large, spacious",Adjective: 1st and 2nd Declension,Measurement
916,aptus -a -um,"fit, suitable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
917,cōnsequor -sequī -secūtus sum,"follow up, overtake, attain",Verb: Deponent,Motion
918,frequēns -ntis,"in large numbers, often",Adjective: 3rd Declension,Measurement
919,nūntius -ī m.,messenger; news,Noun: 2nd Declension,Travel
920,condīciō -ōnis f.,"agreement, condition",Noun: 3rd Declension,Business/Money
921,convīvium -iī n.,"banquet, feast",Noun: 2nd Declension,Social Life
922,foedus -a -um,foul,Adjective: 1st and 2nd Declension,Other Senses
923,fruor fruī frūctus sum,"enjoy the produce of, profit by, use (+ abl.)",Verb: Deponent,Emotions
924,num,interrogative particle implying negative answer,Adverb,Pronouns/Interrogatives
925,albus -a -um,white,Adjective: 1st and 2nd Declension,Vision
926,damnum -ī n.,"damage, injury",Noun: 2nd Declension,Violence
927,frūctus -ūs m.,"fruit, crops; enjoyment, delight",Noun: 4th Declension,Animals/Plants
928,cēnseō cēnsēre cēnsuī cēnsum,"assess, rate; think, decide",Verb: 2nd Conjugation,Education/Knowledge
929,prōdō prōdere prōdidī prōditum,"publish, hand down; give over, betray",Verb: 3rd Conjugation -ō,Verbs of Transport
930,prōpōnō -pōnere -posuī -positum,"put forth, propose, present",Verb: 3rd Conjugation -ō,Speech/Oratory
931,īnstituō -stituere -stituī -stitūtum:,undertake; equip,Verb: 3rd Conjugation -ō,Making/Doing
932,item,likewise,Adverb,Conjunctions/Adverbs
933,magister magistrī m.,"master, chief",Noun: 2nd Declension,Education/Knowledge
934,stella -ae f.,star,Noun: 1st Declension,Air and Fire
935,ēdūcō -dūcere -dūxī -ductum,lead forth,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
936,frūmentum -ī n.,grain,Noun: 2nd Declension,Animals/Plants
937,suscipiō -cipere -cēpī ceptum,take up,Verb: 3rd Conjugation -iō,Verbs of Transport
938,quasi,as if,Adverb,Conjunctions/Adverbs
939,sacerdōs -dōtis m./f.,"priest, priestess",Noun: 3rd Declension,Religion
940,vīcīnus -a -um,"neighboring, near",Adjective: 1st and 2nd Declension,Geography
941,caveō cavēre cāvī cautum,"be on guard, beware",Verb: 2nd Conjugation,Violence
942,ēligō ēligere ēlēgī ēlēctum,"pick out, select",Verb: 3rd Conjugation -ō,The City
943,familia -ae f.,"household, family",Noun: 1st Declension,The Household
944,paene,almost,Adverb,Conjunctions/Adverbs
945,praecipiō -cipere -cēpī -ceptum,"anticipate, advise, warn",Verb: 3rd Conjugation -iō,Speech/Oratory
946,sānus -a -um,"sound, sane",Adjective: 1st and 2nd Declension,Life and Being
947,potis -e,"powerful, able",Adjective: 3rd Declension,Personality Traits/Characteristics
948,prīncipium -ī n.,beginning,Noun: 2nd Declension,Time
949,sepulcrum -ī n.,"place of burial, tomb, grave",Noun: 2nd Declension,Life and Being
950,mortālis -e,"liable to death, mortal; (as subst.) a mortal",Adjective: 3rd Declension,Life and Being
951,epistula -ae f.,letter,Noun: 1st Declension,Writing/Poetry
952,inimīcus -a -um:,unfriendly; (as subst.) enemy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
953,interrogō -āre,"put a question to, ask (+ acc.)",Verb: 1st Conjugation,Speech/Oratory
954,cōnsuētūdo -inis f.,"custom, habit",Noun: 3rd Declension,Personality Traits/Characteristics
955,illūc,to that place,Adverb,Place
956,dīgnitās -ātis f.,"worth, reputation, honor",Noun: 3rd Declension,Personality Traits/Characteristics
957,fugō -āre,put to flight,Verb: 1st Conjugation,Travel
958,afficiō -ficere -fēcī -fectum,"affect, visit with (+ abl.)",Verb: 3rd Conjugation -iō,Social Life
959,adhibeō -hibēre -hibuī -hibitum,apply,Verb: 2nd Conjugation,Making/Doing
960,caelestis -e,"from or of heaven; caelestēs, the gods",Adjective: 3rd Declension,Air and Fire
961,mulier -eris f.,woman,Noun: 3rd Declension,People
962,dīvus -a -um,"divine, godlike; (as subst.) a god",Adjective: 1st and 2nd Declension,Religion
963,arbitror arbitrārī arbitrātus sum,"consider, think",Verb: Deponent,Education/Knowledge
964,posteā,afterwards,Adverb,Time
965,aedēs -is f.,building; (pl.) house,Noun: 3rd Declension,The House
966,fābula -ae f.,"account, tale, story",Noun: 1st Declension,Writing/Poetry
967,celeriter,quickly,Adverb,Time
968,plērus- plēra- plērumque,"the greater part, very many, most, the majority",Adjective: 1st and 2nd Declension,Measurement
969,quiēscō quiēscere quiēvī quiētum,keep quiet; sleep,Verb: 3rd Conjugation -ō,Life and Being
970,quotiēns,"interr. how many times? how often? rel. as often as, whenever",Adverb,Pronouns/Interrogatives
971,scientia -ae f.,knowledge,Noun: 1st Declension,Education/Knowledge
972,cōnfiteor cōnfitērī cōnfessus sum,"admit (a fact), confess (a crime); reveal, disclose",Verb: Deponent,Justice
973,dīligō -ligere -lēxī -lēctum,"choose, cherish, love",Verb: 3rd Conjugation -ō,Love
974,plērumque,generally,Adverb,Measurement
975,dormiō -īre,sleep,Verb: 4th Conjugation,Life and Being
976,volucris -is f./m.,bird,Noun: 3rd Declension,Animals/Plants
977,volucer -cris -cre,flying,Adjective: 3rd Declension,Animals/Plants
978,creō -āre,"produce, create; elect, choose",Verb: 1st Conjugation,Making/Doing
979,fidēlis -e,faithful,Adjective: 3rd Declension,Personality Traits/Characteristics
980,indicō -āre,"point out, show, make known",Verb: 1st Conjugation,Speech/Oratory
981,hodiē,today,Adverb,Lengths of Time
982,disciplīna -ae f.,"training, instruction; learning, discipline",Noun: 1st Declension,Education/Knowledge
983,vērē,truly,Adverb,Speech/Oratory
984,aegrē,with difficulty,Adverb,Life and Being
985,fore,,Verb: Irregular,Life and Being
986,advertō -vertere -vertī -versum,turn towards,Verb: 3rd Conjugation -ō,Motion
987,adveniō -īre -vēnī -ventum,"come to, arrive at",Verb: 4th Conjugation,Travel
988,pendō pendere pependī pēnsum,"weigh, hang, suspend; pay",Verb: 3rd Conjugation -ō,Business/Money
989,studeō -ēre -uī,"be eager, be zealous, care for (+ dat.)",Verb: 2nd Conjugation,Emotions
990,ascendō -ere -scendī -scēnsum,"climb up, ascend",Verb: 3rd Conjugation -ō,Travel
991,vulgō,commonly,Adverb,The City
992,breviter,briefly,Adverb,Measurement
993,fors fortis f.,chance,Noun: 3rd Declension,Religion
994,fēlīciter,luckily,Adverb,Personality Traits/Characteristics
995,revertō -vertere -vertī,turn back,Verb: 3rd Conjugation -ō,Motion
996,ēdīcō -dīcere -dīxī -dictum,declare,Verb: 3rd Conjugation -ō,Speech/Oratory
997,mundus -a -um,"clean, neat, elegant",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
