frequency_rank,headword,definition,part_of_speech,semantic_group
113,quaerō -rere -sīvī -sītum,"seek, inquire",Verb: 3rd Conjugation -ō,Education/Knowledge
114,mittō mittere mīsī missum,"send, let go",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
115,vīs f.,"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength",Noun: 3rd Declension,War and Peace
116,amor -ōris m.,love,Noun: 3rd Declension,Love
117,caelum -ī n.,"sky, heavens",Noun: 2nd Declension,Air and Fire
118,sub,"under, close to (+acc. or abl.)",Preposition,Place
119,nox noctis f.,night,Noun: 3rd Declension,Lengths of Time
120,ita,"thus, so",Adverb,Conjunctions/Adverbs
121,rēgnum -ī n.,"kingship, kingdom",Noun: 2nd Declension,Geography
122,populus -ī m.,people,Noun: 2nd Declension,The City
123,autem,"moreover, but, however",Conjunction,Conjunctions/Adverbs
124,caput capitis n.,head,Noun: 3rd Declension,The Body
125,mare -is n.,sea,Noun: 3rd Declension,Earth and Water
126,quīdam quaedam quoddam,"a certain one, someone",Pronoun,Pronouns/Interrogatives
127,māter mātris f.,mother,Noun: 3rd Declension,The Household
128,prō,"for, on behalf of, in proportion to (+abl.)",Preposition,Non-Directional Prepositions
129,quisquis quidquid,"whoever, whichever",Pronoun,Pronouns/Interrogatives
130,vōs,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
131,capiō capere cēpī captum,seize,Verb: 3rd Conjugation -iō,War and Peace
132,quia,because,Conjunction,Conjunctions/Adverbs
133,dūcō dūcere dūxī ductum,"lead; uxōrem dūcere, marry",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
134,ergō,therefore,Conjunction,Conjunctions/Adverbs
135,nōmen -inis n.,name,Noun: 3rd Declension,Social Life
136,quidem,"certainly, at least",Adverb,Conjunctions/Adverbs
137,miser misera miserum,"wretched, pitiable",Adjective: 1st and 2nd Declension,Emotions
138,fortūna -ae f.,fortune,Noun: 1st Declension,Religion
139,novus -a -um,new,Adjective: 1st and 2nd Declension,Time
140,gravis -e,"heavy, serious",Adjective: 3rd Declension,Measurement
141,vel,"or else, or; even; vel ... vel: either … or",Conjunction,Conjunctions/Adverbs
142,longus -a -um,"long, far",Adjective: 1st and 2nd Declension,Measurement
143,parvus -a -um,small,Adjective: 1st and 2nd Declension,Measurement
144,relinquō -linquere -līquī -lictum,abandon,Verb: 3rd Conjugation -ō,Motion
145,saepe,often,Adverb,Time
146,fīō fierī factus sum,"become, happen, be done",Verb: Irregular,Life and Being
147,ōs ōris n.,"mouth, face",Noun: 3rd Declension,The Body
148,alter altera alterum,other of two,Adjective: 1st and 2nd Declension,Measurement
149,semper,"always, ever",Adverb,Time
150,deinde/dein,"then, next",Adverb,Time
151,ignis -is m.,fire,Noun: 3rd Declension,Air and Fire
152,modo,"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes",Adverb,Time
153,timeō -ēre -uī,"to fear, to dread",Verb: 2nd Conjugation,Emotions
154,scelus -eris n.,"crime, sin",Noun: 3rd Declension,Justice
155,dēbeō dēbēre dēbuī dēbitum,"owe, be obliged",Verb: 2nd Conjugation,Business/Money
156,vīvō vīvere vīxī vīctum,live,Verb: 3rd Conjugation -ō,Life and Being
157,fātum -ī n.,fate; death,Noun: 2nd Declension,Religion
158,vocō -āre,call,Verb: 1st Conjugation,Speech/Oratory
159,altus -a -um,"high, lofty; deep",Adjective: 1st and 2nd Declension,Geography
160,parō -āre,"prepare, acquire; parātus -a -um, ready",Verb: 1st Conjugation,Making/Doing
161,mīles -itis m.,soldier,Noun: 3rd Declension,War and Peace
162,medius -a -um,"middle, central",Adjective: 1st and 2nd Declension,Place
163,"inquam, inquis, inquit, inquiunt:",say (used with direct speech),Verb: Irregular,Speech/Oratory
164,post,after (adv. and prep. +acc.),Preposition,Time
165,audiō -īre -īvī/-iī -ītum,"hear, listen to",Verb: 4th Conjugation,Other Senses
166,putō -āre,"think, suppose",Verb: 1st Conjugation,Education/Knowledge
167,annus -ī m.,year,Noun: 2nd Declension,Lengths of Time
168,stō stāre stetī statum,stand,Verb: 1st Conjugation,Life and Being
169,vōx vōcis f.,"voice, utterance",Noun: 3rd Declension,Speech/Oratory
170,genus generis n.,"origin, lineage, kind",Noun: 3rd Declension,The Household
171,referō referre rettulī relātum,bring back; report,Verb: Irregular,Verbs of Transport
172,sciō -īre -īvī/-iī -ītum,know,Verb: 4th Conjugation,Education/Knowledge
173,mēns mentis f.,mind,Noun: 3rd Declension,The Body
174,reddō -dere -didī -ditum,"return, give back",Verb: 3rd Conjugation -ō,Verbs of Transport
175,licet licēre licuit licitum est,it is permitted (+ dat. + infin.),Verb: Impersonal,Justice
176,sōlus -a -um,"only, alone",Adjective: 1st and 2nd Declension,Measurement
177,fugiō fugere fūgī fugitum,"flee, escape",Verb: 3rd Conjugation -iō,Travel
178,ūllus -a -um,"any, anyone",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
179,nēmō,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)",Pronoun,Pronouns/Interrogatives
180,nātūra -ae f.,nature,Noun: 1st Declension,Life and Being
181,mōs mōris m.,"custom, habit; (pl.) character",Noun: 3rd Declension,Social Life
182,beneficium -ī n.,"service, kindness",Noun: 2nd Declension,Social Life
183,pectus -oris n.,"chest, breast",Noun: 3rd Declension,The Body
184,fidēs -eī f.,"trust, faith",Noun: 5th Declension,Personality Traits/Characteristics
185,patior patī passus sum,"permit, endure",Verb: Deponent,Verbs of Compelling/Directing
186,cūra -ae f.,"care, concern",Noun: 1st Declension,Love
187,īra irae f.,"wrath, anger",Noun: 1st Declension,Emotions
188,verbum -ī n.,word,Noun: 2nd Declension,Writing/Poetry
189,prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",Preposition,Place
190,parēns -ntis m./f.,parent,Noun: 3rd Declension,The Household
191,puer puerī m.,boy; slave,Noun: 2nd Declension,People
192,moveō -ēre mōvī mōtum,move,Verb: 2nd Conjugation,Motion
193,dolor -ōris m.,"pain, grief",Noun: 3rd Declension,Emotions
194,gēns gentis f.,"family, clan",Noun: 3rd Declension,The Household
195,modus -ī m.,"measure, manner, kind",Noun: 2nd Declension,Measurement
196,via -ae f.,"way, street",Noun: 1st Declension,Travel
197,quisque quaeque quidque,"each one, everyone",Pronoun,Pronouns/Interrogatives
